Designator,Mid X,Mid Y,Rotation,Layer
_4,206.1,-30.9,0.0,top
_3,79.9,-145.1,0.0,top
_2,80.0,-30.9,0.0,top
,206.1,-145.1,0.0,top
C1,159.2,-91.3,270.0,top
J1,124.4,-36.4,270.0,top
J2,137.63,-36.3,90.0,top
J7,197.4307,-64.415002,270.0,top
J8,197.5007,-99.355001,270.0,top
JP2,162.9293,-72.355001,270.0,top
R1,165.3993,-94.445001,270.0,top
R10,169.31,-126.705,90.0,top
R11,163.31,-126.705,90.0,top
R12,121.5,-127.09,270.0,top
R13,110.7,-74.5,180.0,top
R14,110.71,-68.5,180.0,top
R15,110.8,-62.5,180.0,top
R16,110.8,-56.5,180.0,top
R17,157.5,-126.8,90.0,top
R18,139.5,-127.19,270.0,top
R19,133.5,-127.19,270.0,top
R2,111.5,-113.09,270.0,top
R20,127.5,-127.09,270.0,top
R21,82.5,-113.11,270.0,top
R3,105.5,-112.99,270.0,top
R4,99.6,-113.0,270.0,top
R5,93.6,-113.08,270.0,top
R6,88.0,-113.08,270.0,top
R7,187.41,-126.705,90.0,top
R8,181.31,-126.705,90.0,top
R9,175.31,-126.705,90.0,top
R_5POS1,99.69,-123.7,270.0,top
R_5POS2,173.6,-136.315,270.0,top
R_BRK1,114.2,-90.76,180.0,top
R_POS1,131.69,-136.3,270.0,top
R_POS2,98.9,-70.39,180.0,top
R_TERM1,162.9993,-62.155001,0.0,top
R_THR1,197.0,-132.0,0.0,top
SW_PUSH1,155.93,-41.2,90.0,top
SW_PUSH2,165.93,-41.2,90.0,top
SW_TOG1,92.53,-44.5,90.0,top
SW_TOG2,104.63,-44.5,90.0,top
U1,139.56816,-76.01,0.0,top
U2,163.2993,-83.255001,270.0,top
