Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uf,
"C2, C3, C5, C6",0805,4,100nF,
C4,0805,1,10uF,
"C7, C8",0805,2,10nf,
J1,Altech_AK100_1x03_P5.00mm,1,Conn_01x03_Pin,
J2,Altech_AK100_1x02_P5.00mm,1,Conn_01x02_Pin,
"J3, R_POS1, R_POS2",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,3,Conn_01x04_Pin,
"J4, J5",DSUB9_FEMALE_RIGHT-ANGLE-THT_2301844-1_TEC,2,DSUB9_FEMALE_RIGHT-ANGLE-THT_2301844-1_TEC,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R3, R4, R5, R6, R7, R8, R9",0805,21,10k,
"R22, R23",0805,2,1k,
"R_5POS1, R_5POS2",JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,2,Conn_01x06_Pin,
"R_BRK1, R_THR1",JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,2,Conn_01x03_Pin,
R_TERM1,0805,1,120,
"SW_PUSH1, SW_PUSH2, SW_PUSH3, SW_PUSH4, SW_PUSH5, SW_TOG1, SW_TOG2",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,7,Conn_01x02_Pin,
U1,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U3,SSOP-8_2.95x2.8mm_P0.65mm,1,TXS0102DCT,
