Designator,Mid X,Mid Y,Rotation,Layer
_4,92.0,-136.0,0.0,top
_3,92.0,-52.9,0.0,top
_2,202.9,-136.0,0.0,top
,203.0,-53.0,0.0,top
BACKUP_SCREEN,104.5,-126.19,180.0,top
C1,165.67,-110.75,270.0,top
C2,129.22,-122.41188,270.0,top
C3,129.22,-132.91188,270.0,top
C4,129.22,-127.91188,270.0,top
C5,110.95,-108.8,0.0,top
C6,111.4,-65.4,0.0,top
GND-5V,138.73,-52.8,90.0,top
GND-5V-3.3V,156.0,-52.9,90.0,top
J3,122.57,-86.93,0.0,top
J7,186.69,-81.04,270.0,top
J8,186.72,-115.450001,270.0,top
JP2,169.73,-89.9,270.0,top
PUSH_1,103.885,-88.23,180.0,top
PUSH_2,104.0,-98.73,180.0,top
R1,170.3,-79.7,0.0,top
R3,172.7,-112.81,270.0,top
U1,169.725,-101.705,270.0,top
U2,146.46816,-93.43,0.0,top
U3,118.22,-127.91188,90.0,top
